date,events
03/04/2017,
04/04/2017,
05/04/2017,
06/04/2017,
07/04/2017,
10/04/2017,
11/04/2017,
12/04/2017,
13/04/2017,
18/04/2017,
19/04/2017,
20/04/2017,
21/04/2017,3rd party outage
24/04/2017,
25/04/2017,
26/04/2017,
27/04/2017,
28/04/2017,
02/05/2017,
03/05/2017,
04/05/2017,
05/05/2017,
08/05/2017,Product launch
09/05/2017,
10/05/2017,Marketing campaign
11/05/2017,
12/05/2017,
15/05/2017,
16/05/2017,
17/05/2017,TV ad
18/05/2017,
19/05/2017,
22/05/2017,
23/05/2017,
24/05/2017,
25/05/2017,
26/05/2017,
30/05/2017,
